N,종목명,현재가,전일비,등락률,액면가,상장주식수,시가총액,매출액,외국인비율,PER,ROE,토론실
96,현대차2우B,"81,300",300,-0.37%,"5,000","29,663","36,485",60.28,"33,097",3.61,N/A,
97,한국금융지주,"53,100",100,0.19%,"5,000","29,590","55,726",35.57,"196,997",2.23,27.12,
98,쌍용C&E,"5,820",30,0.52%,100,"29,325","503,860",2.97,"534,234",24.77,11.12,
99,일진머티리얼즈,"63,000",300,0.48%,500,"29,050","46,111",9.86,"267,516",49.33,7.85,
100,GS리테일,"27,600",300,1.10%,"1,000","28,902","104,718",7.26,"158,972",3.57,25.58,
101,포스코인터내셔널,"23,100",100,-0.43%,"5,000","28,500","123,375",8.62,"518,125",5.35,10.86,
102,현대해상,"31,650","2,200",-6.50%,500,"28,295","89,400",34.63,"894,842",5.17,8.82,
103,제일기획,"24,050",50,-0.21%,200,"27,667","115,041",32.68,"173,527",15.07,15.58,
104,한진칼,"40,950",400,0.99%,"2,500","27,339","66,762",16.22,"73,805",3.44,1.11,
105,현대로템,"24,900",600,2.47%,"5,000","27,176","109,142",7.43,"1,298,813",32.51,5.01,
106,메리츠증권,"4,205",125,3.06%,"1,000","26,900","639,711",14.16,"1,218,427",3.51,15.77,
107,호텔신라,"65,700","1,500",2.34%,"5,000","25,786","39,248",15.26,"438,192",78.78,4.51,
108,씨에스윈드,"60,800",500,0.83%,500,"25,640","42,171",10.33,"159,411",147.57,10.13,
109,팬오션,"4,710",70,-1.46%,"1,000","25,178","534,570",16.92,"2,952,578",3.18,17.16,
110,롯데쇼핑,"88,900",0,0.00%,"5,000","25,149","28,289",12.92,"70,758",-21.89,-2.94,
111,한전기술,"65,000","2,000",3.17%,200,"24,843","38,220",1.54,"703,964",145.74,3.25,
112,이마트,"88,600","1,100",1.26%,"5,000","24,698","27,876",28.05,"68,405",1.41,16.25,
113,HL만도,"52,200",600,1.16%,"1,000","24,512","46,957",22.35,"157,635",23.25,9.31,
114,LG화학우,"317,500","4,000",-1.24%,"5,000","24,412","7,689",70.12,"7,673",11.19,N/A,
115,에스원,"62,200",700,-1.11%,500,"23,635","37,999",53.45,"48,623",19.26,9.13,
116,OCI,"98,500",400,0.41%,"5,000","23,492","23,849",11.5,"568,247",3.15,23.93,
117,한미사이언스,"34,000",350,1.04%,500,"23,332","68,624",2.42,"55,558",45.27,6.37,
